"url","headline","summary","date","tag"
"https://www.bbc.com/news/articles/crk2me7vjxxo","Trump heads to Saudi Arabia eyeing more investment in US","As the president goes to Saudi Arabia, Qatar and the UAE he wants them to buy more from the States.","5 days ago","Middle East"
"https://www.bbc.com/news/articles/cp85k33ey14o","Ben & Jerry's co-founder arrested after Senate Gaza protest","Ben Cohen and six others were arrested during the protest in the US Senate, Capitol Police tells BBC News.","2 days ago","US & Canada"
"https://www.bbc.com/news/videos/c62g63yz8r3o","Why the IMF is worried about the economy - three things to know","The influential financial agency is projecting slower economic growth in the US due to uncertainty around President Trump's tariffs.","23 Apr 2025","US & Canada"
"https://www.bbc.com/news/articles/c20lypyxl2xo","Plaque for football's first black international","Andrew Watson, who went to school in Halifax, captained Scotland to a 6-1 win over England in 1881.","20 Mar 2025","UK"
"https://www.bbc.com/news/articles/czx1g0q43gqo","Oldest serving US astronaut returns to Earth on 70th birthday","A capsule with Don Pettit and his two Russian crewmates lands in Kazakhstan after a space station mission.","20 Apr 2025","World"
"https://www.bbc.com/sport/rugby-union/videos/c5ypqp55327o","Play every game like it's your last - Packer on playing for England","Marlie Packer says it was ""awesome"" to be back playing for England after scoring her 50th international try in the Red Roses win against Scotland.","19 Apr 2025","Rugby Union"
"https://www.bbc.com/news/articles/cx28y8jj4lxo","Finland's bid to win Europe's start-up crown","Helsinki wants to become a top European start-up hub, but can it challenge London and Stockholm?","14 Apr 2025",NA
"https://www.bbc.com/audio/brand/m001nwhs","The Banksy Story","The story of Banksy's rise from secretive street artist to international icon.","11 Apr 2025","Documentaries"
"https://www.bbc.com/news/articles/c99p5nrr53mo","Reeves suggests UK trade with EU more important than US","The chancellor indicates that moving closer to the EU on trade is a bigger priority than the US.","25 Apr 2025","Business"
"https://www.bbc.com/news/videos/cx27j8wkvxeo","Dazzling Aurora Australis captured from space","The footage was filmed by a Nasa astronaut who is on board the ISS, Don Pettit.","5 Apr 2025",NA
"https://www.bbc.com/sport/cricket/articles/crld52ed5ero","No cuts to Afghanistan Cricket Board funding planned by ICC","The Afghanistan Cricket Board will not see any of its funding from the International Cricket Council cut or diverted to its exiled women's cricketers.","17 Apr 2025","Afghanistan"
"https://www.bbc.com/news/articles/ce3vk8z4p5lo","No global recession despite US tariffs, says IMF","The international economic group predicts ""notable markdowns, but not recession"".","17 Apr 2025","Business"
